Урок,ID,Иврит,Транскрипция,Перевод,Категория,Страница
5,90,יַלְדָּה,йальда́,ребёнок (ж.р.),семья,69
5,91,יְלָדִים,йелади́м,дети,семья,69
5,92,הוֹרִים,hори́м,родители,семья,69
5,93,סַבָּא,са́ба,дедушка,семья,70
5,94,סָבְתָא,са́вта,бабушка,семья,70
5,95,דּוֹד,дод,дядя,семья,70
5,96,דּוֹדָה,до́да,тётя,семья,70
5,97,רוֹפֵא,рофэ́,врач (м.р.),профессии,71
5,98,רוֹפְאָה,рофа́,врач (ж.р.),профессии,71
5,99,אָחוֹת,ахо́т,медсестра,профессии,71
5,100,קָטָן,ката́н,маленький,прилагательные,72
5,101,קְטַנָּה,ктана́,маленькая,прилагательные,72
5,102,גָּדוֹל,гадо́ль,большой,прилагательные,72
5,103,גְּדוֹלָה,гдола́,большая,прилагательные,72
5,104,נֶחְמָד,нэхма́д,"милый, приятный",прилагательные,72
5,105,נֶחְמָדָה,нэхмада́,"милая, приятная",прилагательные,72
5,106,חָכָם,хаха́м,умный,прилагательные,72
5,107,חֲכָמָה,хахама́,умная,прилагательные,72
5,108,לְהִנָּשֵׂא,лэhинасэ́,жениться/выходить замуж,глаголы,73
5,109,לְטַפֵּל,лэтапэ́ль,"заботиться, ухаживать",глаголы,73
5,110,לְהִשָּׁאֵר,лэhишаэ́р,оставаться,глаголы,73
5,111,גַּן יְלָדִים,ган йелади́м,детский сад,существительные,73
5,112,בֵּית סֵפֶר,бейт сэ́фэр,школа,существительные,73
5,113,כִּתָּה,кита́,класс,существительные,73
5,114,מִקְצוֹעַ,микцо́а,профессия,существительные,74
5,115,בֵּן כַּמָּה,бен ка́ма,сколько лет (м.р.)?,выражения,74
5,116,בַּת כַּמָּה,бат ка́ма,сколько лет (ж.р.)?,выражения,74
